NAME,OKATO,OKTMO,NAME_AO,OKATO_AO,ABBREV_AO,TYPE_MO,population
Можайский,45268569,45321000,Западный,45268000,ЗАО,Муниципальный округ,147606
Ново-Переделкино,45268577,45322000,Западный,45268000,ЗАО,Муниципальный округ,123219
Строгино,45283577,45370000,Северо-Западный,45283000,СЗАО,Муниципальный округ,161980
Молжаниновский,45277584,45343000,Северный,45277000,САО,Муниципальный округ,12487
Митино,45283559,45367000,Северо-Западный,45283000,СЗАО,Муниципальный округ,197840
Куркино,45283555,45366000,Северо-Западный,45283000,СЗАО,Муниципальный округ,32326
Крылатское,45268560,45319000,Западный,45268000,ЗАО,Муниципальный округ,82923
Солнцево,45268588,45326000,Западный,45268000,ЗАО,Муниципальный округ,127304
Сосенское,45297574,45958000,Новомосковский,45297000,Новомосковский,Поселение,115545
Воскресенское,45297554,45942000,Новомосковский,45297000,Новомосковский,Поселение,20317
Головинский,45277571,45338000,Северный,45277000,САО,Муниципальный округ,104554
Южное Тушино,45283593,45373000,Северо-Западный,45283000,СЗАО,Муниципальный округ,111492
Северное Тушино,45283573,45369000,Северо-Западный,45283000,СЗАО,Муниципальный округ,171805
Черёмушки,45293590,45908000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,107799
Покровское-Стрешнево,45283569,45368000,Северо-Западный,45283000,СЗАО,Муниципальный округ,66564
Хорошёво-Мнёвники,45283582,45371000,Северо-Западный,45283000,СЗАО,Муниципальный округ,181520
Очаково-Матвеевское,45268579,45323000,Западный,45268000,ЗАО,Муниципальный округ,127680
Тропарёво-Никулино,45268592,45327000,Западный,45268000,ЗАО,Муниципальный округ,128359
Левобережный,45277583,45342000,Северный,45277000,САО,Муниципальный округ,55355
Фили-Давыдково,45268597,45329000,Западный,45268000,ЗАО,Муниципальный округ,112246
Обручевский,45293578,45905000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,87447
Рязановское,45297571,45957000,Новомосковский,45297000,Новомосковский,Поселение,32215
Раменки,45268584,45325000,Западный,45268000,ЗАО,Муниципальный округ,152594
Войковский,45277565,45336000,Северный,45277000,САО,Муниципальный округ,72033
